Scheme Name,Date,NAV
Alpha Equity Fund,2018-01-01,100.2684
Alpha Equity Fund,2018-01-02,100.2192
Alpha Equity Fund,2018-01-03,100.5631
Alpha Equity Fund,2018-01-04,101.3446
Alpha Equity Fund,2018-01-05,101.2475
Alpha Equity Fund,2018-01-06,101.1504
Alpha Equity Fund,2018-01-07,101.96
Alpha Equity Fund,2018-01-08,102.3638
Alpha Equity Fund,2018-01-09,102.149
Alpha Equity Fund,2018-01-10,102.4403
Alpha Equity Fund,2018-01-11,102.2286
Alpha Equity Fund,2018-01-12,102.0157
Alpha Equity Fund,2018-01-13,102.1567
Alpha Equity Fund,2018-01-14,101.2201
Alpha Equity Fund,2018-01-15,100.3776
Alpha Equity Fund,2018-01-16,100.1165
Alpha Equity Fund,2018-01-17,99.6301
Alpha Equity Fund,2018-01-18,99.8072
Alpha Equity Fund,2018-01-19,99.3732
Alpha Equity Fund,2018-01-20,98.687
Alpha Equity Fund,2018-01-21,99.4398
Alpha Equity Fund,2018-01-22,99.347
Alpha Equity Fund,2018-01-23,99.4007
Alpha Equity Fund,2018-01-24,98.7083
Alpha Equity Fund,2018-01-25,98.4561
Alpha Equity Fund,2018-01-26,98.5316
Alpha Equity Fund,2018-01-27,97.9761
Alpha Equity Fund,2018-01-28,98.184
Alpha Equity Fund,2018-01-29,97.9036
Alpha Equity Fund,2018-01-30,97.7778
Alpha Equity Fund,2018-01-31,97.4969
Alpha Equity Fund,2018-02-01,98.4431
Alpha Equity Fund,2018-02-02,98.4563
Alpha Equity Fund,2018-02-03,97.9475
Alpha Equity Fund,2018-02-04,98.3788
Alpha Equity Fund,2018-02-05,97.7883
Alpha Equity Fund,2018-02-06,97.9128
Alpha Equity Fund,2018-02-07,96.9529
Alpha Equity Fund,2018-02-08,96.3088
Alpha Equity Fund,2018-02-09,96.4273
Alpha Equity Fund,2018-02-10,96.8165
Alpha Equity Fund,2018-02-11,96.9222
Alpha Equity Fund,2018-02-12,96.8844
Alpha Equity Fund,2018-02-13,96.7538
Alpha Equity Fund,2018-02-14,96.0345
Alpha Equity Fund,2018-02-15,95.6946
Alpha Equity Fund,2018-02-16,95.4843
Alpha Equity Fund,2018-02-17,96.0329
Alpha Equity Fund,2018-02-18,96.2247
Alpha Equity Fund,2018-02-19,95.3632
Alpha Equity Fund,2018-02-20,95.5452
Alpha Equity Fund,2018-02-21,95.3727
Alpha Equity Fund,2018-02-22,95.0542
Alpha Equity Fund,2018-02-23,95.38
Alpha Equity Fund,2018-02-24,95.9155
Alpha Equity Fund,2018-02-25,96.4012
Alpha Equity Fund,2018-02-26,96.0016
Alpha Equity Fund,2018-02-27,95.867
Alpha Equity Fund,2018-02-28,96.0526
Alpha Equity Fund,2018-03-01,96.5604
Alpha Equity Fund,2018-03-02,96.3408
Alpha Equity Fund,2018-03-03,96.2679
Alpha Equity Fund,2018-03-04,95.7348
Alpha Equity Fund,2018-03-05,95.1567
Alpha Equity Fund,2018-03-06,95.5829
Alpha Equity Fund,2018-03-07,96.2811
Alpha Equity Fund,2018-03-08,96.265
Alpha Equity Fund,2018-03-09,96.7868
Alpha Equity Fund,2018-03-10,96.9876
Alpha Equity Fund,2018-03-11,96.6851
Alpha Equity Fund,2018-03-12,96.8858
Alpha Equity Fund,2018-03-13,97.6748
Alpha Equity Fund,2018-03-14,97.6769
Alpha Equity Fund,2018-03-15,98.4792
Alpha Equity Fund,2018-03-16,97.1893
Alpha Equity Fund,2018-03-17,97.6203
Alpha Equity Fund,2018-03-18,97.6838
Alpha Equity Fund,2018-03-19,97.5543
Alpha Equity Fund,2018-03-20,97.6202
Alpha Equity Fund,2018-03-21,96.6464
Alpha Equity Fund,2018-03-22,96.5566
Alpha Equity Fund,2018-03-23,96.7551
Alpha Equity Fund,2018-03-24,97.5141
Alpha Equity Fund,2018-03-25,97.2749
Alpha Equity Fund,2018-03-26,96.8907
Alpha Equity Fund,2018-03-27,96.6598
Alpha Equity Fund,2018-03-28,97.1375
Alpha Equity Fund,2018-03-29,97.3219
Alpha Equity Fund,2018-03-30,97.077
Alpha Equity Fund,2018-03-31,97.3536
Alpha Equity Fund,2018-04-01,97.4222
Alpha Equity Fund,2018-04-02,97.9265
Alpha Equity Fund,2018-04-03,97.5955
Alpha Equity Fund,2018-04-04,97.4516
Alpha Equity Fund,2018-04-05,97.2756
Alpha Equity Fund,2018-04-06,96.5638
Alpha Equity Fund,2018-04-07,96.7319
Alpha Equity Fund,2018-04-08,96.8824
Alpha Equity Fund,2018-04-09,96.905
Alpha Equity Fund,2018-04-10,96.8077
Alpha Equity Fund,2018-04-11,96.12
Alpha Equity Fund,2018-04-12,95.9297
Alpha Equity Fund,2018-04-13,95.7783
Alpha Equity Fund,2018-04-14,95.3972
Alpha Equity Fund,2018-04-15,95.3365
Alpha Equity Fund,2018-04-16,95.5586
Alpha Equity Fund,2018-04-17,96.5216
Alpha Equity Fund,2018-04-18,96.6289
Alpha Equity Fund,2018-04-19,96.7777
Alpha Equity Fund,2018-04-20,96.7605
Alpha Equity Fund,2018-04-21,95.8211
Alpha Equity Fund,2018-04-22,95.8278
Alpha Equity Fund,2018-04-23,95.878
Alpha Equity Fund,2018-04-24,97.1296
Alpha Equity Fund,2018-04-25,97.0534
Alpha Equity Fund,2018-04-26,97.2242
Alpha Equity Fund,2018-04-27,97.2268
Alpha Equity Fund,2018-04-28,96.6625
Alpha Equity Fund,2018-04-29,97.2539
Alpha Equity Fund,2018-04-30,97.6499
Alpha Equity Fund,2018-05-01,98.0654
Alpha Equity Fund,2018-05-02,97.6307
Alpha Equity Fund,2018-05-03,98.3521
Alpha Equity Fund,2018-05-04,97.6712
Alpha Equity Fund,2018-05-05,97.9846
Alpha Equity Fund,2018-05-06,99.0998
Alpha Equity Fund,2018-05-07,98.6245
Alpha Equity Fund,2018-05-08,98.3614
Alpha Equity Fund,2018-05-09,98.4312
Alpha Equity Fund,2018-05-10,98.1995
Alpha Equity Fund,2018-05-11,97.4441
Alpha Equity Fund,2018-05-12,97.4984
Alpha Equity Fund,2018-05-13,96.9873
Alpha Equity Fund,2018-05-14,97.2441
Alpha Equity Fund,2018-05-15,96.8044
Alpha Equity Fund,2018-05-16,97.5993
Alpha Equity Fund,2018-05-17,97.2277
Alpha Equity Fund,2018-05-18,97.0867
Alpha Equity Fund,2018-05-19,97.5134
Alpha Equity Fund,2018-05-20,96.918
Alpha Equity Fund,2018-05-21,97.0517
Alpha Equity Fund,2018-05-22,97.7253
Alpha Equity Fund,2018-05-23,96.9416
Alpha Equity Fund,2018-05-24,97.0539
Alpha Equity Fund,2018-05-25,97.2038
Alpha Equity Fund,2018-05-26,97.6147
Alpha Equity Fund,2018-05-27,97.0163
Alpha Equity Fund,2018-05-28,96.376
Alpha Equity Fund,2018-05-29,96.657
Alpha Equity Fund,2018-05-30,96.8255
Alpha Equity Fund,2018-05-31,96.9707
Alpha Equity Fund,2018-06-01,97.164
